Label, LeftEyebrow, RightEyebrow, LeftLip, RightLip, LipWidth, LipHeight
Fear,6.125185,5.575565,5.978182,6.167127,4.87571239471436,1.79215109348297
Fear,6.17257,5.338716,6.129914,6.980347,5.62651920318604,2.14648151397705
Fear,4.938521,5.026083,6.830112,6.035152,5.72168016433716,1.84350609779358
Fear,5.916974,6.022804,5.154264,5.135313,3.85734343528748,1.27072978019714
Fear,5.983,5.996095,5.935606,5.926007,4.585777759552,1.76925837993622
Fear,5.564556,5.468164,4.714438,4.896991,3.22929716110229,1.11456048488617
Fear,5.751574,5.502313,5.862614,5.782228,4.62547588348389,1.78777313232422
Fear,5.896388,5.450943,4.632957,5.181233,3.87368297576904,1.25641977787018
Fear,4.906985,4.715331,8.320934,8.898407,7.51782178878784,4.14161109924316
Fear,6.196827,6.405633,6.82091,6.130057,5.51679372787476,1.85409438610077
Fear,5.423468,5.265512,4.805355,4.776549,3.44154930114746,1.40330410003662
Fear,5.752972,5.880502,5.846617,5.656549,4.82914304733276,2.08319187164307
Fear,6.233878,5.83567,5.556946,5.735785,4.26832008361816,1.86171412467957
Fear,5.679184,5.683251,5.743539,5.147351,3.93872451782227,2.02457809448242
Fear,6.474352,6.263161,4.862885,4.409513,3.28055930137634,1.20415949821472
Fear,5.704799,5.687657,5.21815,5.353387,3.85541868209839,1.66545963287354
Fear,5.483634,5.792897,4.790174,4.61529,3.26202869415283,1.21816742420197
Fear,5.644108,4.619707,6.17478,6.514853,5.86951589584351,2.21138954162598
Fear,5.697885,5.376839,5.137263,4.96846,3.20941543579102,1.87546288967133
Fear,5.699029,5.515452,6.131001,5.310593,4.36353635787964,1.84938490390778
Fear,5.170988,4.669759,5.477277,6.128582,4.90591907501221,1.13881838321686
Fear,6.268721,5.2711,4.64741,5.276408,3.49756908416748,1.31682217121124
Fear,5.291932,5.490595,6.990662,5.985841,5.74071455001831,2.36573147773743
Fear,5.594097,5.44158,4.952738,4.973927,3.43748354911804,1.68055975437164
Fear,6.091919,6.149581,4.709918,4.5506,3.06915926933289,1.20689654350281
Fear,4.679214,4.695958,5.662035,5.632252,4.19835662841797,1.39945220947266
Fear,5.371575,5.525049,5.366896,5.244846,3.69422245025635,1.52157711982727
Fear,6.215238,5.79857,5.131477,5.173129,3.40678524971008,2.3616349697113
Fear,6.010379,5.848323,6.981877,7.230987,5.91896343231201,2.28513526916504
Fear,5.265031,5.395822,5.577797,6.106943,4.40301942825317,1.43940436840057
Fear,5.859126,5.874252,4.803326,4.428544,2.99778342247009,1.61419117450714
Fear,5.537358,5.519007,4.839866,5.465393,3.41345643997192,1.61175453662872
Fear,5.222626,5.302003,4.935464,5.065569,3.09679889678955,1.67241549491882
Fear,5.572338,5.378504,4.964577,5.245073,3.11336517333984,1.92385756969452
Fear,5.559261,5.434436,4.758486,4.90194,3.60067439079285,1.47935748100281
Fear,5.440619,5.615935,5.475074,5.474051,3.95559024810791,2.0020649433136
Fear,5.06322,5.437439,6.623958,6.218283,5.47909593582153,1.31354856491089
Fear,5.914805,5.949423,5.159556,5.00784,3.40036773681641,1.55080628395081
Fear,5.820865,5.8012,5.68154,5.643334,4.94725275039673,0.946077048778534
Fear,4.431724,5.23381,7.091045,6.150141,6.07827234268188,1.75359213352203
Fear,5.57405,5.348904,5.253121,5.388204,3.37310194969177,2.37440133094788
Fear,5.637751,5.39253,5.572503,5.791062,4.21085548400879,1.73684215545654
Fear,4.972682,5.071495,5.344077,5.744115,4.16997337341309,2.08543920516968
Fear,5.306894,5.185566,4.686839,5.074375,3.13084149360657,1.47288036346436
Fear,5.446428,5.540073,4.388512,4.567099,3.07384610176086,1.07443559169769
Fear,5.723165,5.598542,5.408457,5.50421,3.82469630241394,1.86981987953186
Fear,5.514749,5.747577,4.985008,5.151237,3.84999990463257,1.55080628395081
Fear,5.564931,5.737637,5.00287,5.182473,3.55035209655762,2.09999990463257
Fear,5.740815,5.497275,6.825637,6.080181,5.08598899841309,1.94444441795349
Fear,6.132716,5.834051,5.590242,5.489246,3.49705958366394,2.14789819717407
Fear,5.787958,5.695096,6.025453,6.50589,4.09273433685303,2.43633484840393
Fear,4.894979,5.24678,5.339993,5.572792,3.75023150444031,1.66666662693024
Fear,5.628304,6.034638,4.689492,4.641932,3.08319091796875,1.24960994720459
Fear,5.762873,5.374216,5.113107,5.999428,4.34925270080566,1.70880079269409
Fear,5.657842,5.763258,4.885611,5.304831,3.84116697311401,1.94133007526398
Fear,5.741788,5.754285,5.015468,4.850775,3.32096362113953,1.60199880599976
Fear,5.702178,5.393788,6.262643,7.048933,4.78939151763916,3.05606055259705
Fear,5.654139,5.595118,5.056801,5.332577,3.31973171234131,1.8214076757431
Fear,6.895744,6.149077,4.187854,4.59232,2.85264325141907,1.19292783737183
Fear,6.108035,5.20435,4.815622,5.012388,3.33278441429138,1.45944607257843
Fear,5.690499,5.203347,4.81144,4.984511,3.00106644630432,1.92166590690613
Disgust,5.378432,5.311369,6.838133,7.380321,5.6140456199646,3.74321699142456
Disgust,5.116222,5.23901,5.530021,5.476808,4.04176330566406,2.04154944419861
Disgust,6.333184,6.448383,5.318838,5.392527,4.18181800842285,1.09090912342072
Disgust,6.425016,5.580082,4.532908,4.434943,3.17376589775085,1.13629269599915
Disgust,7.223551,7.324397,7.546393,6.789796,6.26162910461426,2.4149534702301
Disgust,6.762393,6.170427,5.37812,5.652278,4.10815334320068,1.83135092258453
Disgust,5.870579,5.306011,4.266792,4.647394,2.94061064720154,0.71264660358429
Disgust,6.722045,6.976707,5.168931,4.844787,4.0663743019104,1.20471048355103
Disgust,5.814755,5.69117,5.640865,5.553944,3.33004975318909,1.72046506404877
Disgust,5.570985,5.923857,7.389588,7.256936,6.1459264755249,2.16077899932861
Disgust,5.060758,6.950737,5.226261,4.975114,3.2798900604248,1.58167839050293
Disgust,5.56577,4.846845,5.28321,6.090605,4.59619426727295,1.83847761154175
Disgust,7.310227,5.808948,4.580509,4.384978,2.77023959159851,0.998968541622162
Disgust,6.207,6.385012,5.820529,5.036494,4.10833024978638,1.56049191951752
Disgust,6.686131,6.404792,6.197302,6.561829,5.64058876037598,1.84089350700378
Disgust,6.472548,5.936117,5.089592,5.491182,4.20546960830688,1.49491012096405
Disgust,5.374642,6.778213,4.93714,4.302364,3.37062478065491,0.852715790271759
Disgust,5.275514,5.102252,7.326392,8.158536,6.35725069046021,2.44550347328186
Disgust,5.461762,5.331618,5.51431,5.414014,3.49563312530518,1.39825332164764
